21/11/2023     LISTADO TESTIGO PERSONAL SIN PRESENTISMO      P g.


          Nro Control    Planta        Mes        Anio
          01012183          P          11          23
          01013383          P          11          23
          01024782          P          11          23
          01024062          C          11          23
          01017675          P          11          23
          01018273          P          11          23
          01019305          P          11          23
          01022073          P          11          23
          01022272          P          11          23
          01026572          P          11          23
          01024452          C          11          23
          01020571          C          11          23
          01015791          P          11          23
          01017832          P          11          23
          01017971          P          11          23
          01024465          P          11          23
          01026093          P          11          23
          01026174          P          11          23
          01021802          C          11          23
          01024554          C          11          23
          01024753          C          11          23
          01020521          C          11          23
          01020903          C          11          23
          01020602          C          11          23
          01021001          C          11          23
          02013401          C          11          23
          02058333          P          11          23
          02012502          C          11          23
          04001182          P          11          23
          04040495          P          11          23
          04040631          P          11          23
          04040835          P          11          23
          04040801          C          11          23
          05200163          C          11          23
          05001043          P          11          23
          06000704          P          11          23
          06001124          P          11          23
          06000652          P          11          23
          06022811          P          11          23
          06208823          P          11          23
          06208763          P          11          23
          06208802          C          11          23
          07026784          P          11          23
          07026904          P          11          23
          08000584          P          11          23
          08000411          P          11          23
          09000225          C          11          23
          09001221          C          11          23
          09000212          C          11          23
          09000822          C          11          23
          09004232          C          11          23
          09003582          P          11          23
          09003621          P          11          23
          09003655          P          11          23
          09004203          P          11          23
          13011124          C          11          23
          13008053          P          11          23
          13007002          P          11          23
          13009101          P          11          23
          13010372          P          11          23
          13011425          C          11          23
          15033752          C          11          23
          15035843          C          11          23
          15005322          P          11          23
          15010584          P          11          23
          15011483          P          11          23
          15011491          P          11          23
          15011543          P          11          23
          15013663          P          11          23
          15013875          P          11          23
          15015652          P          11          23
          15017714          P          11          23
          15017913          P          11          23
          15019643          P          11          23
          15020034          P          11          23
          15021001          P          11          23
          15021022          P          11          23
          15022612          P          11          23
          15026491          P          11          23
          15015615          P          11          23
          15019151          P          11          23
          15021844          P          11          23
          15024871          P          11          23
          15026195          P          11          23
          15028215          P          11          23
          15032413          P          11          23
          15013401          P          11          23
          15013493          P          11          23
          15016695          P          11          23
          15017992          P          11          23
          15020704          P          11          23
          15029672          C          11          23
          15020042          P          11          23
          15026271          P          11          23
          15028862          C          11          23
          15029371          C          11          23
          15033451          C          11          23
          15034745          C          11          23
          15011551          P          11          23
          15013503          P          11          23
          15901515          C          11          23
          15901612          C          11          23
          15901125          C          11          23
          15901625          C          11          23
          15901722          C          11          23
          15901811          C          11          23
          16003605          P          11          23
          16004672          P          11          23
          16006394          P          11          23
          16002125          P          11          23
          16003684          P          11          23
          16004295          P          11          23
          16005555          P          11          23
          16005893          P          11          23
          18004295          P          11          23
          18029313          P          11          23
          18029423          C          11          23
          18029821          C          11          23
          18030403          C          11          23
          18033032          C          11          23
          18028715          P          11          23
          18032413          P          11          23
          18029101          C          11          23
          18031331          C          11          23
          18005262          C          11          23
          18031624          C          11          23
          19001755          P          11          23
          19001802          P          11          23
          19002154          P          11          23
          19002201          P          11          23
          19002382          P          11          23
          19002531          P          11          23
          19005005          P          11          23
          19008545          P          11          23
          19008582          P          11          23
          19009164          P          11          23
          19010665          P          11          23
          19010762          P          11          23
          19010791          P          11          23
          19010801          P          11          23
          19010814          P          11          23
          19011713          P          11          23
          19011742          P          11          23
          19012162          P          11          23
          19012523          P          11          23
          19012581          P          11          23
          19012701          P          11          23
          19012793          P          11          23
          19013134          P          11          23
          19013304          P          11          23
          19013354          P          11          23
          19013854          P          11          23
          19013883          P          11          23
          19013964          P          11          23
          19014431          P          11          23
          19014444          P          11          23
          19014512          P          11          23
          19014834          P          11          23
          19014915          P          11          23
          19014923          P          11          23
          19014944          P          11          23
          19014952          P          11          23
          19015013          P          11          23
          19015474          P          11          23
          19015704          P          11          23
          19015754          P          11          23
          19015762          P          11          23
          19015775          P          11          23
          19015783          P          11          23
          19015814          P          11          23
          19015843          P          11          23
          19015945          P          11          23
          19016412          P          11          23
          19016941          P          11          23
          19016983          P          11          23
          19020225          P          11          23
          19020241          P          11          23
          19020254          P          11          23
          19020262          P          11          23
          19020424          P          11          23
          19020482          P          11          23
          19020521          P          11          23
          19020644          P          11          23
          19020741          P          11          23
          19020762          P          11          23
          19020783          P          11          23
          19020851          P          11          23
          19020864          P          11          23
          19021035          P          11          23
          19021072          P          11          23
          19021271          P          11          23
          19021344          P          11          23
          19021514          P          11          23
          19021572          P          11          23
          19021632          P          11          23
          19021734          P          11          23
          19021771          P          11          23
          19021873          P          11          23
          19021941          P          11          23
          19021983          P          11          23
          19022015          P          11          23
          19022073          P          11          23
          19022112          P          11          23
          19022125          P          11          23
          19022162          P          11          23
          19022361          P          11          23
          19022552          P          11          23
          19022581          P          11          23
          19022654          P          11          23
          19022683          P          11          23
          19022691          P          11          23
          19022714          P          11          23
          19022963          P          11          23
          19023045          P          11          23
          19023223          P          11          23
          19023294          P          11          23
          19023414          P          11          23
          19023451          P          11          23
          19023582          P          11          23
          19023655          P          11          23
          19023692          P          11          23
          19023794          P          11          23
          19023812          P          11          23
          19023951          P          11          23
          19024012          P          11          23
          19024054          P          11          23
          19024122          P          11          23
          19024172          P          11          23
          19024193          P          11          23
          19024402          P          11          23
          19024415          P          11          23
          19024423          P          11          23
          19024465          P          11          23
          19024575          P          11          23
          19024583          P          11          23
          19024635          P          11          23
          19024664          P          11          23
          19024782          P          11          23
          19024805          P          11          23
          19024834          P          11          23
          19024842          P          11          23
          19024855          P          11          23
          19024931          P          11          23
          19025005          P          11          23
          19025071          P          11          23
          19025084          P          11          23
          19025131          P          11          23
          19025204          P          11          23
          19025212          P          11          23
          19025225          P          11          23
          19025254          P          11          23
          19025283          P          11          23
          19025291          P          11          23
          19025314          P          11          23
          19025372          P          11          23
          19025403          P          11          23
          19025424          P          11          23
          19025461          P          11          23
          19025474          P          11          23
          19025505          P          11          23
          19025521          P          11          23
          19025563          P          11          23
          19025631          P          11          23
          19025673          P          11          23
          19025681          P          11          23
          19025712          P          11          23
          19025725          P          11          23
          19025754          P          11          23
          19025791          P          11          23
          19025872          P          11          23
          19025924          P          11          23
          19026022          P          11          23
          21000445          P          11          23
          23068684          P          11          23
          23068781          P          11          23
          23066802          C          11          23
          24004944          C          11          23
          24005741          C          11          23
          24005542          C          11          23
          24011933          P          11          23
          26002191          P          11          23
          26001865          P          11          23
          26002044          P          11          23
          28073422          D          11          23
          30000741          P          11          23
          30000762          P          11          23
          30000791          P          11          23
          30000822          P          11          23
          35000424          P          11          23
          35000814          P          11          23
          35000262          C          11          23
          35000822          C          11          23
          35000534          C          11          23
          35000801          C          11          23
          35002874          C          11          23
          37006315          P          11          23
          37003362          P          11          23
          37003171          C          11          23
          37004075          C          11          23
          37004575          C          11          23
          37004672          C          11          23
          37005474          C          11          23
          37006174          C          11          23
          37006255          C          11          23
          37006271          C          11          23
          37006674          C          11          23
          37007484          C          11          23
