21/05/2024     LISTADO TESTIGO PERSONAL SIN PRESENTISMO      P g.


          Nro Control    Planta        Mes        Anio
          01024782          P          05          24
          01021433          C          05          24
          01024062          C          05          24
          01026572          P          05          24
          01002353          P          05          24
          01015791          P          05          24
          01017675          P          05          24
          01018273          P          05          24
          01018375          P          05          24
          01023715          C          05          24
          01023812          C          05          24
          01024711          C          05          24
          01022471          P          05          24
          01023561          P          05          24
          01023993          P          05          24
          01025961          P          05          24
          01025995          P          05          24
          01019402          P          05          24
          01022913          C          05          24
          01024651          C          05          24
          01024915          C          05          24
          01025851          C          05          24
          01021802          C          05          24
          01017832          P          05          24
          01018215          P          05          24
          01022395          P          05          24
          01023794          P          05          24
          01026093          P          05          24
          01020534          C          05          24
          01022214          C          05          24
          01024452          C          05          24
          01024554          C          05          24
          01010665          P          05          24
          01013383          P          05          24
          01022002          C          05          24
          01025822          C          05          24
          01026035          C          05          24
          01019533          P          05          24
          01020505          C          05          24
          01020602          C          05          24
          01021001          C          05          24
          01019923          P          05          24
          01022824          C          05          24
          01021653          P          05          24
          02003304          P          05          24
          02003574          P          05          24
          02004693          P          05          24
          02058333          P          05          24
          02012604          C          05          24
          02012502          C          05          24
          04040801          C          05          24
          04040521          P          05          24
          04040542          P          05          24
          04040584          P          05          24
          04040631          P          05          24
          04040835          P          05          24
          05003634          P          05          24
          05001043          P          05          24
          05003435          P          05          24
          05200113          C          05          24
          05200163          C          05          24
          05200192          C          05          24
          06000704          P          05          24
          06022811          P          05          24
          06208802          C          05          24
          07026572          P          05          24
          07026174          P          05          24
          07026771          P          05          24
          07026904          P          05          24
          07026962          C          05          24
          08000115          P          05          24
          08000911          P          05          24
          08000212          P          05          24
          08001022          C          05          24
          09000411          C          05          24
          09002502          P          05          24
          09002913          P          05          24
          09004334          P          05          24
          09000212          C          05          24
          09000225          C          05          24
          09000322          C          05          24
          09000822          C          05          24
          13011585          C          05          24
          13011425          C          05          24
          13010364          P          05          24
          13009101          P          05          24
          13009805          P          05          24
          13010534          P          05          24
          13011111          C          05          24
          13011522          C          05          24
          15005322          P          05          24
          15011483          P          05          24
          15011491          P          05          24
          15013804          P          05          24
          15015652          P          05          24
          15017714          P          05          24
          15017913          P          05          24
          15020034          P          05          24
          15020631          P          05          24
          15021022          P          05          24
          15022463          P          05          24
          15022612          P          05          24
          15026491          P          05          24
          15031263          C          05          24
          15035843          C          05          24
          15016983          P          05          24
          15023532          P          05          24
          15026661          P          05          24
          15032811          P          05          24
          15019724          P          05          24
          15020623          P          05          24
          15021624          P          05          24
          15022191          P          05          24
          15023192          P          05          24
          15024232          P          05          24
          15025403          P          05          24
          15032942          P          05          24
          15028862          C          05          24
          15029672          C          05          24
          15029384          C          05          24
          15015314          P          05          24
          15015694          P          05          24
          15016195          P          05          24
          15016352          P          05          24
          15016894          P          05          24
          15017285          P          05          24
          15017691          P          05          24
          15018605          P          05          24
          15019151          P          05          24
          15019282          P          05          24
          15020173          P          05          24
          15020181          P          05          24
          15020262          P          05          24
          15020885          P          05          24
          15021373          P          05          24
          15021695          P          05          24
          15021941          P          05          24
          15022332          P          05          24
          15023265          P          05          24
          15023294          P          05          24
          15023354          P          05          24
          15023383          P          05          24
          15024533          P          05          24
          15024651          P          05          24
          15025055          P          05          24
          15026182          P          05          24
          15026255          P          05          24
          15027531          P          05          24
          15027921          P          05          24
