12/03/2024     LISTADO TESTIGO PERSONAL SIN PRESENTISMO      P g.


          Nro Control    Planta        Mes        Anio
          01024711          C          03          24
          01024452          C          03          24
          01022214          C          03          24
          01024915          C          03          24
          01022374          P          03          24
          01021802          C          03          24
          01024782          P          03          24
          01021323          C          03          24
          01019305          P          03          24
          01018215          P          03          24
          01019211          P          03          24
          01024253          C          03          24
          01025584          C          03          24
          01021514          C          03          24
          01026572          P          03          24
          01017971          P          03          24
          01018273          P          03          24
          01024062          C          03          24
          01017675          P          03          24
          01015791          P          03          24
          01024465          P          03          24
          01022421          C          03          24
          01019533          P          03          24
          01020505          C          03          24
          01018914          P          03          24
          01020903          C          03          24
          01020602          C          03          24
          01023113          C          03          24
          01020403          C          03          24
          02003574          P          03          24
          02011705          P          03          24
          04040584          P          03          24
          04040835          P          03          24
          04040372          P          03          24
          04040631          P          03          24
          04040393          P          03          24
          06001124          P          03          24
          06000704          P          03          24
          06001145          P          03          24
          06000725          P          03          24
          06208823          P          03          24
          06022811          P          03          24
          06208763          P          03          24
          07026904          P          03          24
          07026844          C          03          24
          07026072          P          03          24
          08000212          P          03          24
          08000911          P          03          24
          08000584          P          03          24
          08000445          P          03          24
          13008702          P          03          24
          13011522          C          03          24
          13010534          P          03          24
          13008304          P          03          24
          13009101          P          03          24
          13011433          C          03          24
          15012853          P          03          24
          15011585          P          03          24
          15033752          C          03          24
          15019965          P          03          24
          15026912          P          03          24
          15032811          P          03          24
          15016983          P          03          24
          15023532          P          03          24
          15011491          P          03          24
          15020801          P          03          24
          15028862          C          03          24
          15016695          P          03          24
          15024232          P          03          24
          15017992          P          03          24
          15034761          C          03          24
          15020042          P          03          24
          15030233          P          03          24
          15029554          P          03          24
          15031771          C          03          24
          15023464          P          03          24
          15024871          P          03          24
          15013875          P          03          24
          15022463          P          03          24
          15020631          P          03          24
          15026491          P          03          24
          15011543          P          03          24
          15020034          P          03          24
          15035843          C          03          24
          15021022          P          03          24
          15017714          P          03          24
          15015652          P          03          24
          15011483          P          03          24
          15022612          P          03          24
          15005322          P          03          24
          15013304          P          03          24
          15017913          P          03          24
          15010385          P          03          24
          15901921          C          03          24
          15901612          C          03          24
          15901811          C          03          24
          15901515          C          03          24
          15901722          C          03          24
          15901324          C          03          24
          15902011          C          03          24
          15901214          C          03          24
          15901112          C          03          24
          16002125          P          03          24
          16005644          P          03          24
          16336943          P          03          24
          16366901          C          03          24
          16003841          P          03          24
          16004672          P          03          24
          16005555          P          03          24
          16002785          P          03          24
          16336935          P          03          24
          16003493          P          03          24
          16003642          P          03          24
          16006593          P          03          24
          16005403          P          03          24
          16003692          P          03          24
          16004465          P          03          24
          16003702          P          03          24
          16004601          P          03          24
          16001881          P          03          24
          16005725          P          03          24
          16366883          P          03          24
          16005791          P          03          24
          16005851          P          03          24
          16005835          P          03          24
          16003794          P          03          24
          16004981          P          03          24
          16366891          C          03          24
          16366922          C          03          24
          18035115          C          03          24
          18034622          C          03          24
          18004295          P          03          24
          18033113          P          03          24
          18004033          P          03          24
          18033032          C          03          24
          18031721          C          03          24
          18036823          C          03          24
          21000055          P          03          24
          22001572          P          03          24
          22001551          P          03          24
          23069185          P          03          24
          23071763          C          03          24
          23068781          P          03          24
          23070885          P          03          24
          24005945          C          03          24
          24004944          C          03          24
          24011632          P          03          24
          24010432          P          03          24
          24005542          C          03          24
          24007751          P          03          24
          24007654          P          03          24
